运算符说明	运算符	替代方法
第 1 组优先级，无关联性		
范围解析	::	
第 2 组优先级，从左到右关联		
成员选择（对象或指针）	或 ->	
数组下标	[]	
函数调用	()	
后缀递增	++	
后缀递减	--	
类型名称	typeid	
常量类型转换	const_cast	
动态类型转换	dynamic_cast	
重新解释的类型转换	reinterpret_cast	
静态类型转换	static_cast	
第 3 组优先级，从右到左关联		
对象或类型的大小	sizeof	
前缀递增	++	
前缀递减	--	
二进制反码	~	compl
逻辑“非”	!	not
一元求反	-	
一元加	+	
Address-of	&	
间接寻址	*	
创建对象	new	
销毁对象	delete	
强制转换	()	
第 4 组优先级，从左到右关联		
指向成员的指针（对象或指针）	或 ->*	
第 5 组优先级，从左到右关联		
乘法	*	
部门	/	
取模	%	
第 6 组优先级，从左到右关联		
加法	+	
减法	-	
第 7 组优先级，从左到右关联		
左移	<<	
右移	>>	
第 8 组优先级，从左到右关联		
小于	<	
大于	>	
小于或等于	<=	
大于或等于	>=	
第 9 组优先级，从左到右关联		
等式	==	
不相等	!=	not_eq
第 10 组优先级，从左到右关联		
位与	&	bitand
第 11 组优先级，从左到右关联		
位异或	^	xor
第 12 组优先级，从左到右关联		
位或	|	bitor
第 13 组优先级，从左到右关联		
逻辑与	&&	and
第 14 组优先级，从左到右关联		
逻辑或	||	or
第 15 组优先级，从右到左关联		
条件逻辑	? :	
转让	=	
乘法赋值	*=	
除法赋值	/=	
取模赋值	%=	
加法赋值	+=	
减法赋值	-=	
左移赋值	<<=	
右移赋值	>>=	
按位“与”赋值	&=	and_eq
按位“与或”赋值	|=	or_eq
按位“异或”赋值	^=	xor_eq
引发表达式	throw	
第 16 组优先级，从左到右关联		
逗号	,	
